TSA_NUMERO,LAM_STATION_ID,TSA_NIMI,NIMI_FI,NIMI_SE,NIMI_EN,TIE,TIEOSA,ETAISYYS,TSA_PAIKKA_Y,TSA_PAIKKA_X,TSA_KORKEUS,MAAKUNNAN_NIMI,LEVEYS_ASTE,LEVEYS_MINUUTTI,LEVEYS_SEKUNTI,PITUUS_ASTE,PITUUS_MINUUTTI,PITUUS_SEKUNTI
23146,146,L_st101_Länsi-Pakila,Tie 101 Länsi-Pakila,Väg 101 Västra Baggböle,Road 101 Länsi-Pakila,101,6,700,6682524,3384048,0,Uusimaa,60,14,"15,4",24,54,"13,3"
23147,147,L_st101_Pakila,Tie 101 Pakila,Väg 101 Baggböle,Road 101 Pakila,101,6,2600,6683061,3386131,0,Uusimaa,60,14,"34,9",24,56,"27,5"
23148,148,L_st101_Pukinmäki,Tie 101 Pukinmäki,Väg 101 Bocksbacka,Road 101 Pukinmäki,101,7,1800,6683200,3388061,0,Uusimaa,60,14,"41,3",24,58,"32,6"
23149,149,L_st101_Malmi,Tie 101 Malmi,Väg 101 Malm,Road 101 Malmi,101,7,4000,6682892,3390311,0,Uusimaa,60,14,"33,6",25,0,"59,3"
23162,162,L_st102_Olarinluoma,Tie 102 Olarinluoma,Väg 102 Olarsbäcken,Road 102 Olarinluoma,102,1,1331,6675976,3375365,0,Uusimaa,60,10,"34,8",24,45,4
23163,163,L_st102_Kokinkylä,Tie 102 Kokinkylä,Väg 102 Kockby,Road 102 Kokinkylä,102,2,1071,6677786,3375145,0,Uusimaa,60,11,33,24,44,"45,7"
23195,195,L_st103_Satamatie,"Tie 103, Satamatie","Väg 103, Satamatie"," Road 103, Satamatie",103,1,2160,6682495,3397906,0,Uusimaa,60,14,"27,9",25,9,"13,4"
23105,105,L_st110_Hiidenvesi,Tie 110 Hiidenvesi,Väg 110 Hiidenvesi,Road 110 Hiidenvesi,110,14,2530,6698936,3342150,0,Uusimaa,60,22,"14,3",24,8,"7,5"
23151,151,L_st120_Pitäjänmäki,Tie 120 Pitäjänmäki,Väg 120 Sockenbacka,Road 120 Pitäjänmäki,120,2,250,6680982,3382527,0,Uusimaa,60,13,"24,1",24,52,"37,8"
23123,123,L_st120_Pähkinärinne,Tie 120 Pähkinärinne,Väg 120 Hasselbacken,Road 120 Pähkinärinne,120,3,2580,6684221,3379958,0,Uusimaa,60,15,6,24,49,"44,1"
23138,138,L_st120_Odilampi,Tie 120 Odilampi,Väg 120 Odilampi,Road 120 Odilampi,120,4,5000,6690145,3375463,0,Uusimaa,60,18,"12,4",24,44,"38,9"
23136,136,L_st140_Arola,Tie 140 Arola,Väg 140 Arola,Road 140 Arola,140,9,4240,6716335,3400932,0,Uusimaa,60,32,"43,4",25,11,"29,6"
23155,155,L_st170_Kulosaari,Tie 170 Kulosaari,Väg 170 Brändö,Road 170 Kulosaari,170,1,1400,6677221,3388948,0,Uusimaa,60,11,"29,1",24,59,42
23135,135,L_st170_Ilola,Tie 170 Ilola,Väg 170 Illby,Road 170 Ilola,170,12,4360,6704759,3431085,0,Uusimaa,60,26,"52,2",25,44,"41,6"
23158,158,L_st170_Hagaböle,Tie 170 Hagaböle,Väg 170 Hagaböle,Road 170 Hagaböle,170,16,3330,6708806,3444751,0,Uusimaa,60,29,"10,5",25,59,"31,2"
23121,121,L_yt11888_Liljendal2,Tie 11888 Liljendal,Väg 11888 Liljendal,Road 11888 Liljendal,11888,2,2388,6715986,3446622,0,Uusimaa,60,33,"3,4",26,1,"26,7"
23196,196,L_Niinisaarentie,"Helsinki, Niinisaarentie","Helsingfors, Niinisaarentie","Helsinki, Niinisaarentie",40946,3,590,6680210,3398147,0,Uusimaa,60,13,"14,3",25,9,"33,2"
23199,199,L_Olari,"Merituulentie, Espoo","Havsvindsvägen, Esbo","Merituulentie, Espoo",99999,1,1199,6675338,3376441,0,Uusimaa,60,10,"15,4",24,46,"15,1"
24604,1604,L_vt1_Lahnajärvi,Tie 1 Lahnajärvi,Väg 1 Lahnajärvi,Road 1 Lahnajärvi,1,17,2205,6700612,3319594,0,Varsinais-Suomi,60,22,"34,5",23,43,"32,7"
24603,1603,L_vt1_Syvälampi,Tie 1 Syvälampi,Väg 1 Syvälampi,Road 1 Syvälampi,1,18,4586,6701070,3314412,0,Varsinais-Suomi,60,22,"40,8",23,37,"53,6"
24602,1602,L_vt1_Kruusila,"Tie 1 Salo, Kruusila","Väg 1 Salo, Kruusila","Road 1 Salo, Kruusila",1,20,6303,6701789,3305959,0,Varsinais-Suomi,60,22,"49,7",23,28,"40,4"
